idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens
uj0802,0570_100947.xml,letters-leipzig,Brief,"Klemm, Eberhardt","Johnson, Uwe",1965-08-19,1965,8,KlemmEberhardt,JohnsonUwe,109
uj0803,0576_000062.xml,letters-leipzig,Postkarte,"Johnson, Uwe","Klemm, Eberhardt",1965-09-14,1965,9,JohnsonUwe,KlemmEberhardt,58
uj0804,0546_100928.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1965-05-13,1965,5,BierwischManfred,JohnsonUwe,327
uj0805,0525_100901.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1965-01-08,1965,1,JohnsonUwe,BierwischManfred,352
uj0806,0536_s000156.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1965-03-19,1965,3,JohnsonUwe,BierwischManfred,384
uj0807,0553_100931.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1965-06-07,1965,6,BierwischManfred,JohnsonUwe,1165
uj0808,0524_100900.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1965-01-05,1965,1,BierwischManfred,JohnsonUwe,344
uj0809,0563_100942.xml,letters-leipzig,Brief,"Jäckel, Erika","Johnson, Uwe",1965-07-10,1965,7,JäckelErika,JohnsonUwe,22
uj0810,0579_100952.xml,letters-leipzig,Brief + Telegramm,"Bierwisch, Manfred","Johnson, Uwe",1965-10-02,1965,10,BierwischManfred,JohnsonUwe,13
uj0811,0549_000022.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Eberhardt",1965-05-24,1965,5,JohnsonUwe,KlemmEberhardt,154
uj0812,0538_100918.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1965-03-23,1965,3,BierwischManfred,JohnsonUwe,681
uj0813,0577_100950.xml,letters-leipzig,Brief + Postkarte,"Klemm, Eberhardt","Johnson, Uwe",1965-09-25,1965,9,KlemmEberhardt,JohnsonUwe,91
uj0814,0580_100953.xml,letters-leipzig,Brief + Telegramm,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1965-10-03,1965,10,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,20
uj0815,0526_100902.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1965-02-11,1965,2,BierwischManfred,JohnsonUwe,1031
uj0816,0541_100921.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe + anonymous1",1965-04-21,1965,4,BierwischManfred,JohnsonUwe+anonymous1,295
uj0817,0523_000064.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Eberhardt",0000-00-00,0,0,JohnsonUwe,KlemmEberhardt,96
uj0818,0555_100934.xml,letters-leipzig,Brief + Telegramm,"Bierwisch, Manfred","Johnson, Uwe",1965-06-18,1965,6,BierwischManfred,JohnsonUwe,15
uj0819,0530_000021.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Eberhardt",1965-03-04,1965,3,JohnsonUwe,KlemmEberhardt,131
uj0820,0537_s000060.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",1965-03-19,1965,3,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,125
uj0821,0528_100904.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1965-02-19,1965,2,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,809
uj0822,0556_s000157.xml,letters-leipzig,Brief,"Johnson, Uwe + anonymous1","Bierwisch, Manfred",1965-06-18,1965,6,JohnsonUwe+anonymous1,BierwischManfred,370
uj0823,0562_100941.xml,letters-leipzig,Brief,"Jäckel, Ine","Johnson, Uwe",1965-07-10,1965,7,JäckelIne,JohnsonUwe,72
uj0824,0571_103060.xml,letters-leipzig,Brief + Postkarte,"Klemm, Eberhardt","Johnson, Uwe",1965-08-23,1965,8,KlemmEberhardt,JohnsonUwe,89
uj0825,0584_100960.xml,letters-leipzig,Brief + Postkarte,"Menzhausen, Joachim","Johnson, Uwe + anonymous1",1965-12-09,1965,12,MenzhausenJoachim,JohnsonUwe+anonymous1,41
uj0826,0543_100923.xml,letters-leipzig,Brief + Telegramm,"Bierwisch, Manfred","Johnson, Uwe",1965-05-05,1965,5,BierwischManfred,JohnsonUwe,12
